Reason,Year,Count
Arson,1992,11162
,1993,10945
,1994,10080
,1995,12648
,1996,10206
,1997,10936
,1998,14103
,1999,19282
,2000,17827
,2001,16939
,2002,12785
,2003,10006
,2004,11429
,2005,13354
,2006,18902
,2007,13600
,2008,9483
,2009,8842
,2010,10196
,2011,9109
,2012,9560
,2013,6590
,2014,6845
,2015,6626
Campfire,1992,2570
,1993,2767
,1994,3726
,1995,3987
,1996,4038
,1997,2490
,1998,2661
,1999,3266
,2000,2723
,2001,3121
,2002,3022
,2003,2436
,2004,2266
,2005,3662
,2006,2845
,2007,3510
,2008,3336
,2009,3314
,2010,3585
,2011,3015
,2012,3471
,2013,2796
,2014,3801
,2015,3731
Children,1992,2916
,1993,2501
,1994,3201
,1995,3310
,1996,3039
,1997,2884
,1998,3109
,1999,3517
,2000,3492
,2001,3537
,2002,2906
,2003,2250
,2004,2041
,2005,2507
,2006,3186
,2007,2580
,2008,2215
,2009,1890
,2010,1903
,2011,1894
,2012,2119
,2013,1400
,2014,1420
,2015,1350
Debris Burning,1992,12729
,1993,12353
,1994,14845
,1995,16719
,1996,16827
,1997,14750
,1998,15111
,1999,22343
,2000,21790
,2001,21377
,2002,19269
,2003,12546
,2004,16911
,2005,18703
,2006,25951
,2007,18703
,2008,18825
,2009,18402
,2010,19835
,2011,19524
,2012,16613
,2013,16703
,2014,19860
,2015,18339
Equipment Use,1992,5633
,1993,5516
,1994,5429
,1995,5594
,1996,6028
,1997,5744
,1998,6027
,1999,7643
,2000,6608
,2001,6581
,2002,5382
,2003,5595
,2004,5526
,2005,7148
,2006,9569
,2007,7230
,2008,7464
,2009,6225
,2010,5809
,2011,6896
,2012,5628
,2013,4334
,2014,4519
,2015,5484
Fireworks,1992,213
,1993,243
,1994,413
,1995,202
,1996,322
,1997,276
,1998,306
,1999,330
,2000,292
,2001,426
,2002,433
,2003,444
,2004,420
,2005,543
,2006,1009
,2007,689
,2008,412
,2009,634
,2010,666
,2011,451
,2012,910
,2013,709
,2014,572
,2015,585
Lightning,1992,12230
,1993,7539
,1994,16204
,1995,8075
,1996,12634
,1997,8447
,1998,10880
,1999,11797
,2000,16547
,2001,13825
,2002,12465
,2003,13828
,2004,11726
,2005,11103
,2006,16949
,2007,12711
,2008,9904
,2009,10449
,2010,8983
,2011,12538
,2012,11130
,2013,10154
,2014,8538
,2015,9812
Miscellaneous,1992,7364
,1993,6848
,1994,7070
,1995,7297
,1996,7115
,1997,9663
,1998,9334
,1999,12408
,2000,19037
,2001,12038
,2002,12424
,2003,11098
,2004,10300
,2005,16370
,2006,21846
,2007,17893
,2008,20677
,2009,15697
,2010,17221
,2011,17629
,2012,16223
,2013,15161
,2014,14973
,2015,18119
Missing/Undefined,1992,8366
,1993,8826
,1994,10183
,1995,8360
,1996,9764
,1997,1816
,1998,2079
,1999,2509
,2000,1423
,2001,2560
,2002,2052
,2003,7539
,2004,6026
,2005,11927
,2006,9569
,2007,15142
,2008,10048
,2009,9220
,2010,7458
,2011,13903
,2012,3735
,2013,4241
,2014,3701
,2015,6276
Powerline,1992,128
,1993,133
,1994,144
,1995,154
,1996,166
,1997,180
,1998,371
,1999,364
,2000,351
,2001,364
,2002,312
,2003,268
,2004,191
,2005,313
,2006,344
,2007,390
,2008,295
,2009,1266
,2010,1434
,2011,2828
,2012,773
,2013,666
,2014,1433
,2015,1580
Railroad,1992,1999
,1993,1844
,1994,1965
,1995,2142
,1996,2896
,1997,2177
,1998,1873
,1999,2524
,2000,3143
,2001,2293
,2002,1900
,2003,612
,2004,719
,2005,768
,2006,1014
,2007,913
,2008,778
,2009,577
,2010,715
,2011,660
,2012,621
,2013,423
,2014,529
,2015,370
Smoking,1992,2618
,1993,2420
,1994,2628
,1995,2895
,1996,2454
,1997,1971
,1998,2406
,1999,3250
,2000,3047
,2001,3381
,2002,2535
,2003,1525
,2004,1589
,2005,2038
,2006,2737
,2007,2063
,2008,1848
,2009,1615
,2010,1827
,2011,1865
,2012,1629
,2013,1366
,2014,1278
,2015,1884
Structure,1992,47
,1993,54
,1994,67
,1995,89
,1996,85
,1997,116
,1998,110
,1999,130
,2000,136
,2001,145
,2002,171
,2003,114
,2004,135
,2005,168
,2006,83
,2007,149
,2008,93
,2009,194
,2010,257
,2011,240
,2012,357
,2013,237
,2014,284
,2015,335
